,Dados do País,Quantidade de Casos,Casos do Dia,Quantidade de Mortes,Mortes no Dia,Casos Revertidos,Casos Ativos,Casos Críticos
,China,81008,41,3255,7,71740,6013,1927
,Italy,47021,5986,4032,627,5129,37860,2655
,Spain,21510,3433,1093,262,1588,18829,939
,Germany,19848,4528,68,24,180,19600,2
,Iran,19644,1237,1433,149,6745,11466,0
,USA,19643,5854,263,56,147,19233,64
,France,12612,1617,450,78,1587,10575,1297
,S. Korea,8799,234,102,11,2612,6085,59
,Switzerland,5615,1393,56,13,15,5544,0
,UK,3983,714,177,33,65,3741,20
,Netherlands,2994,534,106,30,2,2886,210
,Austria,2649,470,6,0,9,2634,14
,Belgium,2257,462,37,16,204,2016,164
,Norway,1959,169,7,0,1,1951,27
,Sweden,1639,200,16,5,16,1607,21
,Denmark,1255,104,9,3,1,1245,37
,Canada,1087,214,12,0,14,1061,1
,Malaysia,1030,130,3,1,87,940,26
,Portugal,1020,234,6,2,5,1009,26
,Brazil,970,330,11,4,2,957,18
,Japan,963,20,33,0,215,715,50
,Australia,928,172,7,0,46,875,2
,Czechia,833,139,0,0,4,829,6
,Diamond Princess,712,0,8,1,527,177,14
,Israel,705,28,1,1,15,689,10
,Ireland,683,126,3,0,5,675,6
,Turkey,670,311,9,5,0,661,0
,Pakistan,501,47,3,1,13,485,0
,Greece,495,31,10,4,19,466,20
,Luxembourg,484,149,5,1,6,473,1
,Qatar,470,10,0,0,10,460,6
,Finland,450,50,0,0,10,440,2
,Chile,434,92,0,0,6,428,7
,Ecuador,426,166,7,4,3,416,2
,Poland,425,70,5,0,13,407,3
,Iceland,409,79,0,0,5,404,1
,Singapore,385,40,0,0,131,254,14
,Indonesia,369,60,32,7,17,320,0
,Saudi Arabia,344,70,0,0,8,336,0
,Slovenia,341,22,1,0,0,340,9
,Thailand,322,50,1,0,42,279,1
,Romania,308,31,0,0,31,277,11
,Bahrain,298,19,1,0,125,172,4
,Egypt,285,29,8,1,42,235,0
,Estonia,283,16,0,0,1,282,1
,Peru,263,29,4,3,1,258,5
,Hong Kong,256,48,4,0,98,154,4
,Russia,253,54,1,0,12,240,0
,India,249,55,5,1,23,221,0
,Philippines,230,13,18,1,8,204,1
,Iraq,208,16,17,4,49,142,0
,South Africa,202,52,0,0,0,202,0
,Panama,200,63,1,0,1,198,7
,Lebanon,177,20,4,0,4,169,3
,Mexico,164,46,1,0,4,159,1
,Kuwait,159,11,0,0,22,137,5
,Argentina,158,30,3,0,3,152,0
,Colombia,145,37,0,0,1,144,0
,San Marino,144,0,14,0,4,126,12
,UAE,140,0,2,2,31,107,2
,Slovakia,137,13,0,0,0,137,2
,Armenia,136,14,0,0,1,135,2
,Taiwan,135,27,2,1,28,105,0
,Serbia,135,32,1,1,2,132,4
,Croatia,130,20,1,0,5,124,0
,Bulgaria,127,20,3,0,1,123,0
,Costa Rica,113,26,2,1,2,109,2
,Latvia,111,25,0,0,1,110,0
,Uruguay,110,31,0,0,0,110,0
,Algeria,94,4,11,2,32,51,0
,Vietnam,91,6,0,0,17,74,0
,Bosnia and Herzegovina,89,25,0,0,2,87,1
,Morocco,86,23,3,1,2,81,1
,Hungary,85,12,4,3,7,74,6
,Jordan,85,16,0,0,1,84,0
,Faeroe Islands,80,8,0,0,3,77,0
,Brunei,78,5,0,0,1,77,2
,North Macedonia,76,26,0,0,1,75,1
,Andorra,75,1,0,0,1,74,2
,Cyprus,75,8,0,0,0,75,1
,Sri Lanka,73,13,0,0,3,70,0
,Dominican Republic,72,38,2,0,0,70,0
,Albania,70,6,2,0,2,66,2
,Belarus,69,18,0,0,15,54,0
,Moldova,66,17,1,0,1,64,3
,Venezuela,65,23,0,0,1,64,0
,Malta,64,11,0,0,2,62,1
,Lithuania,63,15,0,0,1,62,1
,Tunisia,54,15,1,0,1,52,7
,New Zealand,53,25,0,0,0,53,0
,Kazakhstan,52,8,0,0,0,52,0
,Cambodia,51,14,0,0,1,50,0
,Oman,48,0,0,0,13,35,0
,Palestine,48,1,0,0,17,31,0
,Senegal,47,11,0,0,5,42,0
,Guadeloupe,45,12,0,0,0,45,0
,Azerbaijan,44,0,1,0,7,36,0
,Georgia,44,4,0,0,1,43,1
,Ukraine,41,15,3,0,1,37,0
,Burkina Faso,40,7,1,0,4,35,0
,Uzbekistan,33,10,0,0,0,33,0
,Martinique,32,9,1,0,0,31,7
,Liechtenstein,28,0,0,0,0,28,0
,Réunion,28,0,0,0,0,28,0
,Afghanistan,24,2,0,0,1,23,0
,Honduras,24,12,0,0,0,24,0
,Cuba,21,10,1,0,0,20,0
,Bangladesh,20,2,1,0,3,16,1
,Cameroon,20,7,0,0,2,18,0
,Jamaica,19,4,1,0,2,16,0
,DRC,18,4,0,0,0,18,0
,Paraguay,18,5,0,0,0,18,1
,Macao,17,0,0,0,10,7,0
,Rwanda,17,6,0,0,0,17,0
,Bolivia,16,1,0,0,0,16,0
,Ghana,16,5,0,0,0,16,0
,Guyana,15,10,1,0,0,14,0
,French Guiana,15,0,0,0,0,15,0
,Guam,14,2,0,0,0,14,0
,Montenegro,14,1,0,0,0,14,0
,Puerto Rico,14,8,0,0,0,14,0
,Maldives,13,0,0,0,2,11,0
,Guatemala,12,3,1,0,0,11,0
,Nigeria,12,0,0,0,1,11,0
,Channel Islands,12,1,0,0,0,12,0
,Mauritius,12,5,0,0,0,12,0
,Monaco,11,1,0,0,0,11,0
,French Polynesia,11,5,0,0,0,11,0
,Gibraltar,10,0,0,0,2,8,0
,Ivory Coast,9,0,0,0,1,8,0
,Ethiopia,9,2,0,0,0,9,0
,Togo,9,8,0,0,0,9,0
,Trinidad and Tobago,9,0,0,0,0,9,0
,Kenya,7,0,0,0,0,7,0
,Seychelles,7,1,0,0,0,7,0
,Barbados,6,1,0,0,0,6,0
,Equatorial Guinea,6,0,0,0,0,6,0
,Kyrgyzstan,6,3,0,0,0,6,0
,Mayotte,6,2,0,0,0,6,0
,Mongolia,6,0,0,0,0,6,0
,Tanzania,6,0,0,0,0,6,0
,Aruba,5,0,0,0,1,4,0
,Gabon,4,1,1,1,0,3,0
,Bahamas,4,1,0,0,0,4,0
,Saint Martin,4,1,0,0,0,4,0
,Suriname,4,3,0,0,0,4,0
,Cayman Islands,3,0,1,0,0,2,0
,Curaçao,3,0,1,0,0,2,0
,CAR,3,2,0,0,0,3,0
,Congo,3,0,0,0,0,3,0
,Madagascar,3,3,0,0,0,3,0
,Namibia,3,0,0,0,0,3,0
,St. Barth,3,0,0,0,0,3,0
,U.S. Virgin Islands,3,0,0,0,0,3,0
,Sudan,2,0,1,0,0,1,0
,Benin,2,0,0,0,0,2,0
,Bermuda,2,0,0,0,0,2,0
,Bhutan,2,1,0,0,0,2,0
,Greenland,2,0,0,0,0,2,0
,Guinea,2,1,0,0,0,2,0
,Haiti,2,2,0,0,0,2,0
,Isle of Man,2,1,0,0,0,2,0
,Liberia,2,0,0,0,0,2,0
,Mauritania,2,0,0,0,0,2,0
,New Caledonia,2,0,0,0,0,2,0
,Nicaragua,2,1,0,0,0,2,0
,Saint Lucia,2,0,0,0,0,2,0
,Zambia,2,0,0,0,0,2,0
,Nepal,1,0,0,0,1,0,0
,Angola,1,1,0,0,0,1,0
,Antigua and Barbuda,1,0,0,0,0,1,0
,Cabo Verde,1,1,0,0,0,1,0
,Chad,1,0,0,0,0,1,0
,Djibouti,1,0,0,0,0,1,0
,El Salvador,1,0,0,0,0,1,0
,Fiji,1,0,0,0,0,1,0
,Gambia,1,0,0,0,0,1,0
,Vatican City,1,0,0,0,0,1,0
,Montserrat,1,0,0,0,0,1,0
,Niger,1,0,0,0,0,1,0
,Papua New Guinea,1,1,0,0,0,1,0
,St. Vincent Grenadines,1,0,0,0,0,1,0
,Sint Maarten,1,0,0,0,0,1,0
,Somalia,1,0,0,0,0,1,0
,Eswatini,1,0,0,0,0,1,0
,Zimbabwe,1,1,0,0,0,1,0